Founder_Type,Economic_Climate,Founder_Age,Founder_Experience_Years,Industry,Funding_Stage,Work_Mode,Team_Size,Startup_Age_Months,Weekly_Work_Hours,Sleep_Hours,Exercise_Days_Per_Week,Vacation_Days_Taken,Investor_Pressure_Score,Cofounder_Conflict_Score,Stress_Score,Decision_Fatigue_Score,Burnout_Score,Burnout_Level,Founder_Burnout_Flag,Monthly_Revenue_Growth_Percent,Runway_Months_Remaining,Product_Market_Fit_Score,Employee_Turnover_Percent,Work_Life_Balance_Score,Seeks_Mental_Health_Support,Shutdown_Probability,Shutdown_Risk,Startup_Failure_Flag
Serial Entrepreneur,Recession,31,12,E-commerce,Seed,Remote,14,99,48.5,6.2,6.5,15.2,3.4,4.2,2.2,2.6,1.0,Low,0,-5.1,5.6,7.8,30.0,9.7,No,0.082,Low,0
Calm Operator,Recession,30,0,FinTech,Bootstrapped,Remote,6,47,48.6,6.9,6.3,17.5,9.7,2.7,2.7,1.7,1.0,Low,0,2.7,8.4,2.3,14.4,10.0,No,0.49,Medium,0
Burned-Out Operator,Stable Economy,28,3,ClimateTech,Bootstrapped,Hybrid,5,59,68.8,4.0,5.4,4.8,5.7,5.6,7.7,9.0,5.8,Moderate,0,16.3,4.4,1.0,41.5,4.0,No,0.905,High,1
Chaotic Innovator,Stable Economy,32,2,EdTech,Series A,Office,74,143,81.5,5.0,0.6,4.2,5.9,7.2,10.0,5.4,5.6,Moderate,0,-1.4,31.5,4.0,39.4,5.1,No,0.233,Low,0
Growth Obsessed Founder,Stable Economy,35,1,SaaS,Pre-Seed,Hybrid,9,11,78.6,5.2,2.5,9.2,5.4,5.6,6.5,3.4,4.6,Moderate,0,21.6,7.0,5.2,36.5,4.2,No,0.716,High,1
Visionary CEO,Stable Economy,30,1,AI,Seed,Office,7,80,58.5,7.0,4.8,0.3,3.9,0.9,2.1,1.0,1.0,Low,0,12.9,5.6,9.4,22.6,10.0,No,0.052,Low,0
Chaotic Innovator,Recession,25,3,Gaming,Bootstrapped,Remote,7,66,68.2,4.6,4.5,13.6,6.0,1.3,4.7,6.6,4.1,Moderate,0,4.5,2.5,4.4,35.1,5.4,Yes,0.453,Medium,0
Technical Builder,Bull Market,37,1,Cybersecurity,Bootstrapped,Hybrid,1,101,81.9,5.4,2.1,11.8,8.6,3.7,8.0,9.8,6.3,Moderate,0,14.9,12.6,4.0,36.3,1.7,No,0.566,Medium,0
Calm Operator,Funding Winter,37,3,EdTech,Bootstrapped,Hybrid,7,35,61.4,5.8,7.0,14.9,4.9,0.6,4.7,3.0,1.0,Low,0,-2.3,7.0,6.3,11.8,9.9,Yes,0.263,Low,0
Serial Entrepreneur,Bull Market,44,7,E-commerce,Bootstrapped,Remote,1,54,84.4,5.3,3.2,11.3,6.0,6.8,9.7,6.1,4.6,Moderate,0,28.9,23.7,5.2,51.6,4.4,No,0.064,Low,0
